country,mined_raw_mat,unit,2018,2019,2020,2021,2022
Australia,Petroleum,(t),16776470.0,22464160.0,22381790.0,21782900.0,20228210.0
Australia,Uranium,(t),7737.0,7726.0,7273.0,4474.0,5377.0
Austria,Iron,(t),897132.0,1037470.0,973840.0,1059550.0,1035770.0
Austria,Tungsten,(t),936.0,892.0,896.0,919.0,910.0
Austria,Feldspar,(t),35000.0,35000.0,35000.0,35000.0,35000.0
Austria,Graphite,(t),150.0,100.0,100.0,100.0,100.0
Austria,Gypsum,(t),836862.0,900217.0,901619.0,900374.0,876075.0
Austria,Kaolin,(t),13500.0,13500.0,13500.0,13500.0,13500.0
Austria,Magnesite,(t),808239.0,691909.0,816370.0,844226.0,771043.0
Austria,Salt,(t),1176807.0,1212158.0,1014554.0,1117586.0,897774.0
Austria,Sulfur,(t),6980.0,6768.0,6564.0,4755.0,4672.0
Austria,Talc,(t),127866.0,124184.0,123000.0,157493.0,157047.0
Austria,Nat. Gas,(Mio m3),969.0,891.0,743.0,654.0,607.0
Austria,Oil Shales,(t),150.0,100.0,100.0,100.0,100.0
Austria,Petroleum,(t),681842.0,642953.0,609254.0,571428.0,532339.0
Azerbaijan,Aluminium,(t),45390.0,32700.0,28560.0,24900.0,33500.0
Azerbaijan,Copper,(t),1650.0,2213.0,2591.0,2649.0,2516.0
Azerbaijan,Gold,(kg),4239.0,3897.0,3635.0,3427.0,3271.0
Azerbaijan,Silver,(kg),8943.0,8160.0,7590.0,8988.0,12600.0
Azerbaijan,Bentonite,(t),212336.0,222519.0,155112.0,174242.0,175875.0
Azerbaijan,Gypsum,(t),270471.0,314224.0,297594.0,417892.0,369908.0
Azerbaijan,Salt,(t),66699.0,77116.0,76401.0,71495.0,77455.0
Azerbaijan,Nat. Gas,(Mio m3),19207.0,24514.0,26487.0,32578.0,34956.0
Azerbaijan,Petroleum,(t),38814300.0,37501200.0,34531900.0,34580300.0,32646400.0
Bahamas,Salt,(t),867950.0,663850.0,720030.0,425710.0,633380.0
Bahrain,Aluminium,(t),1011101.0,1365005.0,1548500.0,1561222.0,1600111.0
Bahrain,Sulfur,(t),139370.0,139655.0,124490.0,129350.0,128780.0
Bahrain,Nat. Gas,(Mio m3),15420.0,17120.0,17230.0,17500.0,16600.0
Bahrain,Petroleum,(t),9667380.0,9668850.0,9694300.0,9608310.0,9436020.0
Bangladesh,Salt,(t),1493000.0,1824000.0,1570000.0,1651000.0,1832000.0
Bangladesh,Steam Coal,(t),923276.0,805696.0,811138.0,753973.0,488676.0
Bangladesh,Nat. Gas,(Mio m3),27430.0,27230.0,24990.0,25170.0,23780.0
Bangladesh,Petroleum,(t),589650.0,565140.0,522570.0,463590.0,349560.0
Barbados,Nat. Gas,(Mio m3),14.0,14.0,11.0,11.0,9.0
Barbados,Petroleum,(t),30070.0,28560.0,23590.0,20770.0,19130.0
Belarus,Potash,(t),7346096.0,7348293.0,7562153.0,7750000.0,4000000.0
Belarus,Salt,(t),2904097.0,2517590.0,1198290.0,2265000.0,2000000.0
Belarus,Nat. Gas,(Mio m3),211.0,218.0,219.0,229.0,220.0
Belarus,Petroleum,(t),1670000.0,1690000.0,1710000.0,1737000.0,1594000.0
Belgium,Arsenic,(t),1000.0,1000.0,1000.0,1000.0,1000.0
Belgium,Indium,(t),20.0,20.0,20.0,20.0,19.0
Belgium,Selenium,(t),200.0,200.0,200.0,200.0,200.0
Benin,Gold,(kg),5.0,5.0,5.0,5.0,5.0
Benin,Salt,(t),500.0,500.0,500.0,500.0,500.0
Bhutan,Iron,(t),24220.0,23590.0,9430.0,16590.0,2230.0
Bhutan,Gypsum,(t),461128.0,490596.0,331050.0,403753.0,400183.0
Bhutan,Talc,(t),2042.0,1375.0,972.0,678.0,740.0
Bhutan,Steam Coal,(t),186824.0,184785.0,72838.0,111545.0,158603.0
Bolivia,Iron,(t),41560.0,45830.0,15410.0,17010.0,215940.0
Bolivia,Manganese,(t),110.0,3660.0,4710.0,5100.0,420.0
Bolivia,Tantalum,(t),18.0,10.0,8.0,1.0,3.0
Bolivia,Tungsten,(t),1366.0,1064.0,1347.0,1563.0,1358.0
Bolivia,Antimony,(t),3110.0,2747.0,2629.0,3084.0,3453.0
Bolivia,Arsenic,(t),238.0,126.0,50.0,100.0,35.0
Bolivia,Bismuth,(t),39.0,0.0,55.0,27.0,3.0
Bolivia,Copper,(t),5216.0,4478.0,2822.0,3310.0,3608.0
Bolivia,Lead,(t),112140.0,88002.0,64619.0,92767.0,89761.0
Bolivia,Lithium,(t),10.0,160.0,80.0,410.0,250.0
Bolivia,Tin,(t),17251.0,17147.0,14709.0,19628.0,17613.0
Bolivia,Zinc,(t),519630.0,527521.0,358411.0,499257.0,517523.0
Bolivia,Gold,(kg),31599.0,42000.0,23207.0,45662.0,53374.0
Bolivia,Silver,(kg),1191024.0,1153109.0,929909.0,1289456.0,1214301.0
Bolivia,Baryte,(t),53163.0,39458.0,9611.0,26780.0,48952.0
Bolivia,Bentonite,(t),2.0,0.0,0.0,0.0,5057.0
Bolivia,Boron,(t),216403.0,214269.0,258143.0,312906.0,295515.0
Bolivia,Gypsum,(t),1136.0,3905.0,1000.0,1000.0,168922.0
Bolivia,Potash,(t),1700.0,17800.0,4400.0,32600.0,42600.0
Bolivia,Salt,(t),5373.0,4494.0,14949.0,21777.0,15042.0
Bolivia,Nat. Gas,(Mio m3),19341.0,17046.0,16384.0,16967.0,15517.0
Bolivia,Petroleum,(t),2534273.0,2244260.0,2065070.0,2032870.0,1815610.0
Bosnia-Herzegovina,Iron,(t),704050.0,739600.0,727980.0,792500.0,771530.0
Bosnia-Herzegovina,Aluminium,(t),131508.0,67690.0,0.0,90037.0,138969.0
Bosnia-Herzegovina,Bauxite,(t),760244.0,1043343.0,619748.0,675269.0,669926.0
Bosnia-Herzegovina,Lead,(t),7070.0,7470.0,6110.0,6310.0,6730.0
Bosnia-Herzegovina,Zinc,(t),9350.0,9160.0,6610.0,7310.0,7690.0
Bosnia-Herzegovina,Bentonite,(t),87358.0,94601.0,69183.0,75761.0,28173.0
Bosnia-Herzegovina,Gypsum,(t),122421.0,130788.0,140994.0,297225.0,135408.0
Bosnia-Herzegovina,Kaolin,(t),303626.0,118005.0,108174.0,62599.0,24529.0
Bosnia-Herzegovina,Magnesite,(t),5950.0,1400.0,652.0,196.0,0.0
Bosnia-Herzegovina,Salt,(t),1063458.0,1069210.0,947838.0,966358.0,1109253.0
Bosnia-Herzegovina,Lignite,(t),14378767.0,13376548.0,13365730.0,12802517.0,13736665.0
Botswana,Copper,(t),1462.0,0.0,0.0,11742.0,34201.0
Botswana,Gold,(kg),1105.0,943.0,851.0,649.0,427.0
Botswana,Silver,(kg),,,0.0,10383.0,31174.0
Botswana,Diam. (Gem),(ct),17064600.0,16580899.999999998,11807600.0,15887199.999999998,17135300.0
Botswana,Diam. (Ind),(ct),7313400.0,7106100.0,5060400.0,6808800.0,7343700.0
Botswana,Salt,(t),367988.0,383779.0,418379.0,499527.0,323303.0
Botswana,Steam Coal,(t),2482313.0,2110891.0,1923992.0,2021218.0,2460868.0
Brazil,Iron,(t),287617655.0,255339422.0,245889636.0,268066382.0,250993847.0
Brazil,Chromium,(t),219724.0,199256.0,226762.0,248108.0,218626.0
Brazil,Cobalt,(t),4.0,0.0,0.0,0.0,0.0
Brazil,Manganese,(t),1310825.0,1452034.0,932721.0,597456.0,529664.0
Brazil,Nickel,(t),65254.0,55761.0,68097.0,75988.0,79370.0
Brazil,Niobium,(t),99554.0,126641.0,85572.0,112755.0,110000.0
Brazil,Tantalum,(t),345.0,340.0,300.0,350.0,350.0
Brazil,Titanium,(t),73090.0,81650.0,61940.0,75100.0,53000.0
Brazil,Tungsten,(t),346.0,306.0,262.0,301.0,302.0
Brazil,Vanadium,(t),6562.0,7045.0,7582.0,7212.0,7249.0
Brazil,Aluminium,(t),659000.0,650200.0,685100.0,771700.0,810900.0
Brazil,Bauxite,(t),32377000.0,31937900.0,32897800.0,35949600.0,31608694.0
Brazil,Beryllium,(t),39.0,9.0,10.0,10.0,10.0
Brazil,Cadmium,(t),300.0,450.0,100.0,50.0,20.0
Brazil,Copper,(t),385762.0,363268.0,353258.0,335923.0,297653.0
Brazil,Lead,(t),7277.0,5715.0,5351.0,6307.0,8304.0
Brazil,Lithium,(t),786.0,2575.0,4065.0,5670.0,7863.0
Brazil,Rare Earths,(t),510.0,380.0,450.0,580.0,1580.0
