Name,Ticker / Market Capitalization,Project Stage,Commodity,Location,Website
Norge Mining,,Exploration,"Vanadium, Iron Ore",Norway,https://www.norgemineraler.com/en/company/nm-limited/
NovaGold,"TSX: NG, NYSE: NG",Exploration,Gold,"Alaska, USA",https://novagold.com/
Nutrien,"NYSE: NTR, TSX: NTR",Production,"Potash, Phosphate","North America, South America, Australia",https://www.nutrien.com/
Oroco Resource Corp.,TSXV: OCO - $88M (CAD),Exploration,Copper,Mexico,https://www.orocoresourcecorp.com/
Osisko Development Corp,"NYSE: ODV, TSXV: ODV","Development, Exploration","Gold, Copper","Canada, Mexico, USA",https://osiskodev.com/
Panoro Minerals Ltd,TSXV: PML - $31M (CAD),"Exploration, Development","Copper, Gold, Silver",Peru,https://panoro.com/
Panther Metals Plc,LSE: PALM - $0 (GBP),Exploration,"Copper, Nickel, Zinc",UK,https://panthermetals.com/
Peak Nickel,Private,Exploration,"Cobalt, Copper, Nickel",UK,https://peaknickel.co.uk/
Peloton Minerals Corporation,CSE: PMC - $12M (CAD),Exploration,Lithium,USA,https://pelotonminerals.com/
PolarX Limited,ASX: PXX,Exploration,"Gold, Silver, Copper","Alaska, USA",https://www.polarx.com.au/
Power Nickel,TSXV: CRE - $141M (CAD),Exploration,Nickel,Canada,https://powernickel.com/
PT Multi Makmur,Private,Development,Coking Coal,Indonesia,https://web.multiindustry.com/
PTX Metals,FRA: 9PX - $9M (EUR),Exploration,"Gold, Copper, Nickel, Platinum, Uranium, Rare Earth Metals",Canada,https://ptxmetals.com/
Purepoint Uranium Group Inc.,"TSXV: PTU, OTC: PTUUF",Exploration,Uranium,Canada,https://purepoint.ca/
Quatro Metales,Private,Development,"Gold, Copper",Ecuador,
Renforth Resources Inc,CSE: RFR - $6M (CAD),Exploration,"Copper, Cobalt, Nickel, Platinum, Palladium, Zinc , Battery Metals",Canada,https://renforthresources.com/
Resouro Strategic Metals Inc,"TSXV: RSM, ASX: RAU, FRA: 8TX","Exploration, Development",Gold,Brazil,https://www.resouro.com/
Roy Hill,,Production,Iron Ore,Western Australia,https://www.royhill.com.au/
Royal Road Minerals Limited,FRA: RLU - $18M (EUR),Exploration,"Gold, Copper","Saudi Arabia, Morocco, Argentina, Colombia",https://www.royalroadminerals.com/
RW GOLD,Private,Exploration,"Gold, Silver",Ecuador,
Sandstorm Gold Royalties,NYSE: SAND - $1718M (USD),"Exploration, Development, Production, Royalty and Streaming","Gold, Copper, Silver",Canada,https://www.sandstormgold.com/
Saudi Gold Refinery,Private: :,"Development, Exploration, Production","Copper, Gold",Saudi Arabia,https://sgr-sa.com/
Sayona Mining Limited,ASX: SYA - $349M (AUD),"Exploration, Development, Production",Lithium,Canada,https://sayonamining.com.au/
Scorpio Gold Corp.,TSXV: SGN,Production,Gold,USA,https://scorpiogold.com/
Scottie Resources,TSXV: SCOT - $53M (CAD),Exploration,"Gold, Silver",Canada,https://scottieresources.com/
Sibanye-Stillwater,"JSE: SSW, NYSE: SBSW",Royalty and Streaming,"Gold, Platinum, Palladium, Rhodium, Copper, Zinc, Nickel, Lithium",South Africa,https://www.sibanyestillwater.com/
Sierra Sun Group,Private,"Development, Production","Gold, Tin, Zinc, Phosphate, Rare Earth Metals",Peru,https://sierrasungroup.com/
Silver Tiger Metals,"TSXV: SLVR, OTC: SLVTF","Exploration, Production","Gold, Silver",Mexico,https://silvertigermetals.com/
